State,Acronym,VAT,Latitude,Longitude
Alabama,AL,0.05,32.806671,-86.79113
Alaska,AK,0,61.370716,-152.404419
Arizona,AZ,0.065,33.729759,-111.431221
Arkansas,AR,0.06,34.969704,-92.373123
California,CA,0.075,36.116203,-119.681564
Colorado,CO,0.029,39.059811,-105.311104
Connecticut,CT,0.0635,41.597782,-72.755371
Delaware,DE,0,39.318523,-75.507141
Florida,FL,0.06,27.766279,-81.686783
Georgia,GA,0.04,33.040619,-83.643074
Hawaii,HI,0.04,21.094318,-157.498337
Idaho,ID,0.06,44.240459,-114.478828
Illinois,IL,0.0625,40.349457,-88.986137
Indiana,IN,0.07,39.849426,-86.258278
Iowa,IA,0.06,42.011539,-93.210526
Kansas,KS,0.065,38.5266,-96.726486
Kentucky,KY,0.06,37.66814,-84.670067
Louisiana,LA,0.0445,31.169546,-91.867805
Maine,ME,0.055,44.693947,-69.381927
Maryland,MD,0.06,39.063946,-76.802101
Massachusetts,MA,0.0625,42.230171,-71.530106
Michigan,MI,0.06,43.326618,-84.536095
Minnesota,MN,0.06875,45.694454,-93.900192
Mississippi,MS,0.07,32.741646,-89.678696
Missouri,MO,0.04225,38.456085,-92.288368
Montana,MT,0,46.921925,-110.454353
Nebraska,NE,0.055,41.12537,-98.268082
Nevada,NV,0.0685,38.313515,-117.055374
New Hampshire,NH,0,43.452492,-71.563896
New Jersey,NJ,0.06625,40.298904,-74.521011
New Mexico,NM,0.05125,34.840515,-106.248482
New York,NY,0.04,42.165726,-74.948051
North Carolina,NC,0.0475,35.630066,-79.806419
North Dakota,ND,0.05,47.528912,-99.784012
Ohio,OH,0.0575,40.388783,-82.764915
Oklahoma,OK,0.045,35.565342,-96.928917
Oregon,OR,0,44.572021,-122.070938
Pennsylvania,PA,0.06,40.590752,-77.209755
Rhode Island,RI,0.07,41.680893,-71.51178
South Carolina,SC,0.06,33.856892,-81.163725
South Dakota,SD,0.045,44.299782,-99.438828
Tennessee,TN,0.07,35.747845,-86.692345
Texas,TX,0.0625,31.054487,-97.563461
Utah,UT,0.0485,40.150032,-111.862434
Vermont,VT,0.06,44.045876,-72.710686
Virginia,VA,0.053,37.769337,-78.169968
Washington,WA,0.065,47.400902,-121.490494
West Virginia,WV,0.06,38.491226,-80.95457
Wisconsin,WI,0.05,44.268543,-89.616508
Wyoming,WY,0.04,42.755966,-107.30249
